DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2015,1,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2016,1,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2017,0,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2018,2,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2019,0,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2020,2,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2011,143,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2012,110,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2013,101,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2014,105,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2015,133,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2016,115,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2017,89,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2018,123,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2019,92,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IT,2020,103,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2011,13,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2012,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2013,17,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2014,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2015,14,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2016,8,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2017,4,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2018,6,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2019,7,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LT,2020,6,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LU,2011,2,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LU,2012,2,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LU,2013,1,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,LU,2014,2,
