DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2017,148661,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2018,144079,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2011,164184,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2012,150297,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2013,157340,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2014,176953,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2015,169542,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2016,168135,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2017,154671,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2007,2018,149950,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2011,157861,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2012,143893,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2013,151526,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2014,169673,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2015,162877,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2016,161756,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2017,148326,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2018,143959,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2019,138573,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU27_2020,2020,108508,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2011,164892,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2012,150918,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU28,2013,157889,
